user,item,topk,new_topk,counterfactual,predicted_scores,replacement
0,1547,"[1547, 1114, 698, 1055, 1441, 1154, 645, 863, 911, 1581]","[1547, 1114, 1154, 698, 645, 1055, 1441, 911, 863, 1581]",{125},"[5.229579, 5.0687184, 5.0138016, 5.0084586, 4.9759216, 5.0232105, 5.008562, 4.945656, 4.9497967, 4.840161]",1154
1,1226,"[1226, 495, 186, 313, 249, 476, 188, 1441, 477, 863]","[1441, 863, 1226, 495, 186, 249, 313, 476, 188, 477]",{300},"[4.265857, 4.128924, 4.1193395, 4.012336, 4.0125275, 4.0113044, 4.010319, 4.3045726, 3.9801416, 4.2747283]",1441
2,1441,"[1441, 863, 126, 1444, 1430, 118, 1525, 1254, 55, 406]",,,,-1
3,1441,"[1441, 863, 1444, 1430, 659, 118, 1525, 1254, 1540, 1352]","[1441, 863, 1444, 1430, 118, 1525, 659, 1254, 1540, 1352]",{490},"[4.872821, 4.842854, 4.72688, 4.724649, 4.6158004, 4.6359434, 4.628845, 4.611402, 4.5940657, 4.5937867]",118
4,1547,"[1547, 698, 1055, 858, 1581, 1578, 845, 903, 1431, 1441]","[1547, 698, 858, 1055, 1441, 1581, 1578, 845, 903, 1431]","{480, 512, 43, 428, 211, 22, 602, 541}","[5.670654, 5.4549375, 5.449567, 5.454084, 5.2811747, 5.2753835, 5.161638, 5.156787, 5.1473584, 5.288994]",1441
5,1547,"[1547, 698, 1055, 1581, 1578, 858, 49, 845, 903, 63]","[1547, 698, 1055, 858, 1581, 1578, 49, 63, 845, 903]","{56, 716}","[5.089747, 4.8742366, 4.8688507, 4.7005124, 4.69472, 4.708856, 4.678919, 4.581108, 4.576072, 4.5828476]",858
6,642,"[642, 1114, 487, 18, 911, 1094, 1154, 1411, 123, 1117]","[642, 1114, 487, 18, 1094, 911, 1154, 123, 1411, 1117]","{768, 545, 736}","[5.392566, 5.1641116, 5.1144614, 5.06353, 5.0452604, 5.048722, 4.9822383, 4.9737267, 4.9760327, 4.882567]",1094
7,642,"[642, 18, 1154, 487, 143, 425, 63, 97, 43, 481]",,,,-1
8,1547,"[1547, 858, 49, 698, 1055, 1581, 1578, 1431, 168, 509]","[1547, 698, 1055, 858, 1581, 1578, 49, 1431, 168, 509]","{88, 282, 507, 933}","[6.009966, 5.643037, 5.612868, 5.792402, 5.788466, 5.6200776, 5.6142855, 5.3392076, 5.3005543, 5.142462]",1581
9,270,"[270, 314, 1156, 331, 1226, 313, 188, 11, 295, 954]","[270, 314, 1156, 331, 313, 188, 11, 295, 954, 1226]",{355},"[4.203624, 4.1455874, 4.003773, 3.9951665, 3.6974573, 3.8711982, 3.8412685, 3.8290572, 3.823457, 3.8027213]",313
10,1441,"[1441, 863, 1547, 1444, 1430, 118, 1525, 1254, 1540, 1352]","[1441, 863, 1444, 1430, 118, 1525, 1547, 1254, 1352, 1540]","{0, 163, 324, 296, 593, 986}","[5.116739, 5.087729, 4.869657, 4.9707966, 4.968323, 4.880817, 4.872762, 4.8556695, 4.8380103, 4.8380547]",118
